"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"407","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco rupicolus","Falco rupicolus"
"408","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus"
"409","Falco vespertinus","Falco vespertinus","Falco vespertinus","Falco vespertinus","Falco vespertinus","Falco vespertinus","Falco vespertinus"
"410","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis"
"411","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca/speculigera"
"412","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca",NA,"Ficedula hypoleuca/speculigera"
"413","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina"
"414","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula elisae","Ficedula narcissina","Ficedula narcissina"
"415","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula owstoni","Ficedula narcissina","Ficedula narcissina"
"416","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva","Ficedula parva"
"417","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata"
"418","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus"
"419","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica"
"420","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs"
"421","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla"
"422","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica americana"
"423","Fulica americana","Fulica americana","Fulica americana","Fulica caribaea","Fulica americana","Fulica americana","Fulica americana"
"424","Fulica atra","Fulica atra","Fulica atra","Fulica atra","Fulica atra","Fulica atra","Fulica atra"
"425","Fulica cristata","Fulica cristata","Fulica cristata","Fulica cristata","Fulica cristata","Fulica cristata","Fulica cristata"
"426","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis"
"427","Galerida cristata","Galerida cristata","Galerida cristata","Galerida cristata","Galerida cristata","Galerida cristata","Galerida cristata"
"428","Galerida theklae","Galerida theklae","Galerida theklae","Galerida theklae","Galerida theklae","Galerida theklae","Galerida theklae"
"429","Gallinago delicata","Gallinago delicata","Gallinago delicata","Gallinago gallinago",NA,"Gallinago delicata","Gallinago delicata"
"430","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago"
"431","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago delicata","Gallinago gallinago","Gallinago gallinago"
"432","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago",NA,"Gallinago gallinago","Gallinago gallinago"
"433","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii"
"434","Gallinago media","Gallinago media","Gallinago media","Gallinago media","Gallinago media","Gallinago media","Gallinago media"
"435","Gallinago stenura","Gallinago stenura","Gallinago stenura","Gallinago stenura","Gallinago stenura","Gallinago stenura","Gallinago stenura"
"436","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula galeata","Gallinula chloropus","Gallinula chloropus"
"437","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus"
"438","Gallirallus okinawae","Gallirallus okinawae","Gallirallus okinawae",NA,"Hypotaenidia okinawae","Gallirallus okinawae","Gallirallus okinawae"
"439","Garrulax canorus","Garrulax canorus","Garrulax canorus","Garrulax canorus","Garrulax canorus","Garrulax canorus","Garrulax canorus"
"440","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius",NA,"Garrulus glandarius","Garrulus glandarius"
"441","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus bispecularis","Garrulus glandarius","Garrulus glandarius"
